image,text
/content/drive/MyDrive/data/raw/books/book1.jpg,ہوٹل کا عملہ نہایت دوستانہ ہے۔ عملہ نے 
/content/drive/MyDrive/data/raw/books/book2.jpg, میری بہت مدد کی۔ میں یہاں ضرور واپس آؤں گا
/content/drive/MyDrive/data/raw/books/book3.jpg, ہوٹل کی فضا خوشگوار ہے۔ ہوٹل کا ماحول
/content/drive/MyDrive/data/raw/books/book4.jpg,خوشگوار ہے۔ ہوٹل کا عملہ دوستانہ ہے
/content/drive/MyDrive/data/raw/books/book5.jpg,ہوٹل کا سٹاف اور عملہ نہایت اچھا اور دوستانہ
/content/drive/MyDrive/data/raw/books/book6.jpg,ہے۔ ہوٹل کے کمرے صاف اور کھانا مزے کا ہے
/content/drive/MyDrive/data/raw/books/book7.jpg,ہوٹل کی کھڑکی نہیں کھلتی۔ ہوٹل میں اچھے بیڈ
/content/drive/MyDrive/data/raw/books/book8.jpg,نہیں۔ ہوٹل کا رینٹ بہت زیادہ ہے۔
/content/drive/MyDrive/data/raw/books/book9.jpg,ہوٹل کے کمرے کے آدھے بلب جلتے ہیں تھے ۔
/content/drive/MyDrive/data/raw/books/book10.jpg,کمرے کا پنکھا بہت گرد آلود تھا ۔
/content/drive/MyDrive/data/raw/books/book11.jpg,ہوٹل کے واش روم گندے تھے ۔ ہوٹل کی صفائی
/content/drive/MyDrive/data/raw/books/book12.jpg,کا خیال نہیں رکھا گیا ۔ میں دوبارہ نہیں آوں گا
/content/drive/MyDrive/data/raw/books/book13.jpg,ہوٹل کی چائے کا ذائقہ عجیب تھا ۔ چائے گرم نہیں تھی ۔
/content/drive/MyDrive/data/raw/books/book14.jpg,ہوٹل کا رینٹ مناسب ہے ۔ ہوٹل ٹھیک ہے ۔
/content/drive/MyDrive/data/raw/books/book15.jpg,کل رات کافی شور ہوتا رہا ، میں نے شکایت بھی کی
/content/drive/MyDrive/data/raw/books/book16.jpg,لیکن کوئی سٹاف کمرے میں نہ آیا اور مدد نہ کی ۔
/content/drive/MyDrive/data/raw/books/book17.jpg,ہوٹل کے کمرے میں کوڑا پڑا ہوا تھا ۔ کمرے میں
/content/drive/MyDrive/data/raw/books/book18.jpg,سے بدبو آ رہی تھی ۔ بیڈ پے کچرا پڑا ہوا تھا ۔
/content/drive/MyDrive/data/raw/books/book19.jpg,میں نے دو دن پہلے کمرہ بک کروایا تھا ۔ پھر بھی ہوٹل
/content/drive/MyDrive/data/raw/books/book20.jpg,جا کر آدھا گھنٹہ انتظار کرنا پڑا ۔
/content/drive/MyDrive/data/raw/books/book21.jpg,ہوٹل سٹاف دوستانہ ہے ، ہوٹل کے کمرے کی
/content/drive/MyDrive/data/raw/books/book22.jpg,کھڑکی روشن اور بڑی ہے ۔ میں دوبارہ آوں گا ۔
/content/drive/MyDrive/data/raw/books/book23.jpg,ہوٹل کا عملہ غیر موجود ہے ۔ ہوٹل میں کوئی بات
/content/drive/MyDrive/data/raw/books/book24.jpg,سننے والا نہیں ہے ۔ ہوٹل کی سروس بہت بری ہے ۔
/content/drive/MyDrive/data/raw/newspaper/1.jpg,کینسر کے بارے میں اہم معلومات
/content/drive/MyDrive/data/raw/newspaper/2.jpg,لوٹ آؤ کہ ابھی وقت ہے !
/content/drive/MyDrive/data/raw/newspaper/3.jpg,ڈاکٹرز آج اڈیالہ جیل میں بانی چیئرمین پی ٹی آئی کا معائنہ کریں گے ، پی ٹی آئی نے احتجاج ملتوی کر دیا
/content/drive/MyDrive/data/raw/newspaper/4.jpg,پنجاب میں کاروبار کا بہت پوٹینشل ، چھوٹے بزنس بڑھنے سے اربن اکانومی فروغ پائے گی (وزیراعلیٰ مریم نواز)
/content/drive/MyDrive/data/raw/newspaper/5.jpg,لاہور میں بزنس ایکسپورٹ ، ایچ ای سی اسپتال کا متاثرین نے گھیراؤ کر دیا
/content/drive/MyDrive/data/raw/newspaper/6.jpg,چین کے ساتھ 13 معاہدے ، گوادر ایئرپورٹ کا افتتاح
/content/drive/MyDrive/data/raw/newspaper/7.jpg,قومی اسمبلی : 302 نو منتخب اراکین نے حلف اٹھا لیا
/content/drive/MyDrive/data/raw/newspaper/8.jpg,منتقل کر دیا گیا۔۔ بنوں اور ڈیرہ اسماعیل خان ضلع کو
/content/drive/MyDrive/data/raw/newspaper/9.jpg,"جبرئیل نے خبر دی اور آپ کے چشمانِ مقدس سے آنسو بہہ نکلے
نواسہء رسولؐ کی شہادت آسمانوں سے حق و باطل کا فیصلہ بن کر اتری"
/content/drive/MyDrive/data/raw/newspaper/10.jpg,خواتین سمیت 14 افراد زخمی ہوئے۔ زخمیوں کو قریبی اسپتال
/content/drive/MyDrive/data/raw/newspaper/11.png,ملانے والی مرکزی شاہراہ پر کرفیو نافذ کر دیا گیا ہے۔ بنوں
/content/drive/MyDrive/data/raw/newspaper/12.jpg,میں تشدد اس وقت شروع ہوا جب جب 500 کے لگ بھگ
/content/drive/MyDrive/data/raw/newspaper/13.jpg,مظاہرین نے مصروف شاہراہ بلاک کر دی اور خالی کرنے سے
/content/drive/MyDrive/data/raw/newspaper/14.jpg,انکار کر دیا۔ مظاہرین نے شاہراہ کو 3 گھنٹے تک بلاک رکھا۔ پولیس کا
/content/drive/MyDrive/data/raw/newspaper/15.jpg,مظاہرین میں سے ایک شخص پولیس کی فائرنگ سے ہلاک
/content/drive/MyDrive/data/raw/newspaper/16.jpg,ایران یورینیم باہر بھیجنے کی بجائے افزودگی کم کرے گا، پابندیاں فوری ختم نہیں کی جا رہی ہیں (اسحاق ڈار)
/content/drive/MyDrive/data/raw/newspaper/17.jpg,تنازعات کا حل، پاکستانی کوششیں قابلِ تحسین:پزشکیان
/content/drive/MyDrive/data/raw/newspaper/18.jpg,"قائد اعظمؒ آج بھی بول رہے ہیں ""کاش ہم نے ان کی بات سن لی ہوتی"""
/content/drive/MyDrive/data/raw/newspaper/19.jpg,سفارتی محاذ پر پاکستان کی پذیرائی دشمن سے ہضم نہیں ہو رہی:بلال
/content/drive/MyDrive/data/raw/newspaper/20.jpg,حملے جاری، بحرین میں 8 امریکی تنصیبات نشانہ:ایران
/content/drive/MyDrive/data/raw/signboards/sb1.jpg,"عالم
مارکیٹ"
/content/drive/MyDrive/data/raw/signboards/sb2.jpg,"بگ لاج اینڈ
یونیفارم پوائنٹ"
/content/drive/MyDrive/data/raw/signboards/sb3.jpg,زینت شال ہاؤس
/content/drive/MyDrive/data/raw/signboards/sb4.jpg,"شال
ہاؤس"
/content/drive/MyDrive/data/raw/signboards/sb5.jpg,لباس گھر
/content/drive/MyDrive/data/raw/signboards/sb6.jpg,بابا بک کمپنی
/content/drive/MyDrive/data/raw/signboards/sb7.jpg,خوش لباس
/content/drive/MyDrive/data/raw/signboards/sb8.jpg,القریش عریبک شوارما
/content/drive/MyDrive/data/raw/signboards/sb9.jpg,"عبداللطیف خان سٹریٹ
جاوید شہید روڈ"
/content/drive/MyDrive/data/raw/signboards/sb10.jpg,"نیو سرہن موٹرز
ایڈ
اسٹیٹ ایڈوائزر"
/content/drive/MyDrive/data/raw/signboards/sb11.jpg,"نیو
رواج"
/content/drive/MyDrive/data/raw/signboards/sb12.jpg,"اعلیٰ کوالٹی
ڈرائی فروٹ دستیاب ہیں"
/content/drive/MyDrive/data/raw/signboards/sb13.jpg,"خالص
دودھ
دہی
دستیاب ہے"
/content/drive/MyDrive/data/raw/signboards/sb14.jpg,"دعا
فاسٹ فوڈ
بریانی اور کابلی پلاؤ
دستیاب ہے"
/content/drive/MyDrive/data/raw/signboards/sb15.jpg,"دعا
فاسٹ فوڈ
برگر اور شوارما
دستیاب ہے"
/content/drive/MyDrive/data/raw/signboards/sb16.jpg,"جامع مسجد غوثیہ
ادارہ تعلیمات اسلامیہ ٹرسٹ"
/content/drive/MyDrive/data/raw/signboards/sb17.jpg,خالد مرغ شاپ
/content/drive/MyDrive/data/raw/signboards/sb18.jpg,"ڈاکٹر شوکت حسین خٹک
الٹراساؤنڈ سپیشلسٹ
پاکستان لیبارٹری"
/content/drive/MyDrive/data/raw/signboards/sb19.jpg,کیفے سٹوڈنٹ
/content/drive/MyDrive/data/raw/signboards/sb20.jpg,"گلوبل بکس
اینڈ
تھیسز بائنڈنگ"
/content/drive/MyDrive/data/raw/other/1.png,سکندر، فہمیدہ، گل نساء، عدنان کو مفرور قرار
/content/drive/MyDrive/data/raw/other/2.png,دیا گیا۔ جب کہ گواہوں کی بھی ایک طویل فہرست
/content/drive/MyDrive/data/raw/other/3.png,کیس کے ساتھ منسلک تھی۔ اور اس کیس کی کارروائی
/content/drive/MyDrive/data/raw/other/4.png,کے دوران مذکورہ زمین کے دعویدار کیس میں مفرور رہے
/content/drive/MyDrive/data/raw/other/5.png,اور اب کیس ختم ہونے کے بعد انہوں نے ایک
/content/drive/MyDrive/data/raw/other/6.png,درخواست دی سادہ سی درخواست پر شہر کے انتہائی اہم اور انڈسٹریل
/content/drive/MyDrive/data/raw/other/7.png,ایریا میں ساحل سمندر سے متصل زمین کوڑیوں کے مول
/content/drive/MyDrive/data/raw/other/8.png,حاصل کر لی۔ اس سلسلے میں جب زمین الاٹ کرنے والے
/content/drive/MyDrive/data/raw/other/9.png,مصطفیٰ جمال قاضی سے رابطہ
/content/drive/MyDrive/data/raw/other/10.png,قائم کیا گیا تو پہلے تو انہوں نے یہ دعویٰ
/content/drive/MyDrive/data/raw/other/11_2.png,کیا کہ انہوں نے مذکورہ زمین کے ہائی کورٹ کے احکامات
/content/drive/MyDrive/data/raw/other/12.png,پر الاٹ کی ہے۔ جب ان سے کہا گیا کہ
/content/drive/MyDrive/data/raw/other/13.png,وہ ہائی کورٹ کا کوئی حکم دکھا سکتے ہیں تو
/content/drive/MyDrive/data/raw/other/14.png,اس کے لئے انہوں نے اپنے دفتر آنے پر اصرار
/content/drive/MyDrive/data/raw/other/15.png,کیا۔ مذکورہ دستاویزات فیکس کرنے سے انکار کرتے ہوئے انہوں
/content/drive/MyDrive/data/raw/other/16.png,نے نمائندہ ”جنگ“ پر ناراضی کا اظہار کرتے ہوئے کہا کہ وہ
/content/drive/MyDrive/data/raw/other/17.png,جھیل کا منظر خوبصورت نظر آتا ہے۔
/content/drive/MyDrive/data/raw/other/18.png,خوبصورت ہے۔ ہوٹل کا سٹاف کا رویہ اچھا ہے۔
/content/drive/MyDrive/data/raw/other/19.png,نہیں آتا۔ ہوٹل کے کمرے تنگ ہیں۔
/content/drive/MyDrive/data/raw/other/20.png,گی۔ ہوٹل کا سٹاف کا قابل اور اچھا ہے۔
/content/drive/MyDrive/data/raw/synthetic/urdu_1.png,پاکستان زندہ باد
/content/drive/MyDrive/data/raw/synthetic/urdu_2.png,آج کا موسم خوشگوار ہے
/content/drive/MyDrive/data/raw/synthetic/urdu_3.png,تعلیم ہر انسان کا حق ہے
/content/drive/MyDrive/data/raw/synthetic/urdu_4.png,کراچی پاکستان کا سب سے بڑا شہر ہے
/content/drive/MyDrive/data/raw/synthetic/urdu_5.png,محنت کامیابی کی کنجی ہے
/content/drive/MyDrive/data/raw/synthetic/urdu_6.png,زندگی ایک خوبصورت سفر ہے
/content/drive/MyDrive/data/raw/synthetic/urdu_7.png,علم روشنی ہے
/content/drive/MyDrive/data/raw/synthetic/urdu_8.png,وقت سب سے قیمتی چیز ہے
/content/drive/MyDrive/data/raw/synthetic/urdu_9.png,صبر کامیابی کی علامت ہے
/content/drive/MyDrive/data/raw/synthetic/urdu_10.png,محبت ایک خوبصورت جذبہ ہے
/content/drive/MyDrive/data/raw/synthetic/urdu_11.png,دوستی زندگی کا حسن ہے
/content/drive/MyDrive/data/raw/synthetic/urdu_12.png,ماں کی دعا جنت ہے
/content/drive/MyDrive/data/raw/synthetic/urdu_13.png,کتاب بہترین دوست ہے
/content/drive/MyDrive/data/raw/synthetic/urdu_14.png,محنت کا پھل میٹھا ہوتا ہے
/content/drive/MyDrive/data/raw/synthetic/urdu_15.png,سچائی ہمیشہ کامیاب ہوتی ہے
/content/drive/MyDrive/data/raw/synthetic/urdu_16.png,حوصلہ کامیابی دیتا ہے
/content/drive/MyDrive/data/raw/synthetic/urdu_17.png,علم انسان کو بلند کرتا ہے
/content/drive/MyDrive/data/raw/synthetic/urdu_18.png,وقت ضائع نہ کرو
/content/drive/MyDrive/data/raw/synthetic/urdu_19.png,خوش رہو اور خوشیاں بانٹو
/content/drive/MyDrive/data/raw/synthetic/urdu_20.png,ہر مشکل کے بعد آسانی ہے
